Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;END QUESTIONNAIRE
1;1635178660053;25/10/2021 16:17:40;1635178659922;3;25/10/2021 19:17:39;55551;22;questionnaire-tam4;;16663941;BLIND;4922817;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 94.0.4606.54;1280x800;1167x641;Openminded Chunk;Debrief (Finnish);6;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;28913
1;1635169286200;25/10/2021 13:41:26;1635169286126;3;25/10/2021 16:41:26;55551;22;questionnaire-tam4;;16658210;BLIND;4921307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1920x1200;1606x1030;Openminded Chunk;Debrief (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;46644
1;1635087060980;24/10/2021 14:51:00;1635087065052;3;24/10/2021 17:51:05;55551;22;questionnaire-tam4;;16635375;BLIND;4916307;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1366x768;1366x643;Openminded Chunk;Debrief (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;25007
1;1634755782837;20/10/2021 18:49:42;1634755784719;3;20/10/2021 21:49:44;55551;22;questionnaire-tam4;;16548920;BLIND;4891916;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1536x864;1536x722;Openminded Chunk;Debrief (Finnish);6;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;
1;1634744205971;20/10/2021 15:36:45;1634744205794;3;20/10/2021 18:36:45;55551;22;questionnaire-tam4;;16542051;BLIND;4886773;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 95.0.4638.54;1920x1200;1481x944;Openminded Chunk;Debrief (Finnish);6;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;23888
1;1634731242233;20/10/2021 12:00:42;1634731243252;3;20/10/2021 15:00:43;55551;22;questionnaire-tam4;;16534652;BLIND;4887607;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 93.0;1280x720;1280x595;Openminded Chunk;Debrief (Finnish);6;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;49118
1;1634726579154;20/10/2021 10:42:59;1634726579066;3;20/10/2021 13:42:59;55551;22;questionnaire-tam4;;16532034;BLIND;4887029;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1920x1080;1621x883;Openminded Chunk;Debrief (Finnish);6;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;42590
1;1634726524671;20/10/2021 10:42:04;1634726524492;3;20/10/2021 13:42:04;55551;22;questionnaire-tam4;;16532011;BLIND;4879113;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 78.0;1536x864;1536x721;Openminded Chunk;Debrief (Finnish);6;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;77306824
1;1634723734803;20/10/2021 09:55:34;1634723734727;3;20/10/2021 12:55:34;55551;22;questionnaire-tam4;;16530404;BLIND;4886824;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1536x864;1536x722;Openminded Chunk;Debrief (Finnish);6;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;53574
1;1634721617743;20/10/2021 09:20:17;1634721617637;3;20/10/2021 12:20:17;55551;22;questionnaire-tam4;;16529292;BLIND;4886552;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.81;1280x720;1280x520;Openminded Chunk;Debrief (Finnish);6;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;74082
1;1634637929495;19/10/2021 10:05:29;1634637927196;3;19/10/2021 13:05:27;55551;22;questionnaire-tam4;;16492514;BLIND;4877584;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 94.0.992.50;1920x1200;1260x780;Openminded Chunk;Debrief (Finnish);6;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;27694
1;1634047221241;12/10/2021 14:00:21;1634047221121;3;12/10/2021 17:00:21;55551;22;questionnaire-tam4;;16329443;BLIND;4831981;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 94.0.4606.71;1280x720;1253x580;Openminded Chunk;Debrief (Finnish);6;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;101260
